provider,country_code,country,asn,operator,observed_records_bucket,prefix_count,hosting_record_bucket,exit_record_bucket,avg_confidence,data_origin
PrivateVPN,SK,Slovakia,201924,LERTAS-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,TH,Thailand,58955,"BANGMODENTERPRISE-TH Bangmod Enterprise Co., Ltd.",lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,TR,Türkiye,202422,GHOST,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,TW,Taiwan,9678,HOSTINGINSIDE HostingInside LTD.,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,UA,Ukraine,3236,SERVER server.ua,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,US,United States,18747,IFX18747,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,US,United States,21859,ZEN-ECN,lt-50,1,lt-50,lt-50,88.0,VPN-Infrastructure-Atlas
PrivateVPN,US,United States,7979,SERVERS-COM,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,VN,Vietnam,24085,QTSC-AS-VN Quang Trung Software City Development Company,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,AU,Australia,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,BA,Bosnia and Herzegovina,200698,GLOBALHOST-BOSNIA-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,CA,Canada,32489,AMANAHA-NEW,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,CY,Cyprus,35432,CABLENET-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,EU,European Union,1257,TELE2,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,FI,Finland,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,GB,United Kingdom,58065,PACKETEXCHANGE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,HR,Croatia,12417,DHH-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,ID,Indonesia,137373,IDNIC-SUITEN-AS-ID PT. SUITEN INOVASI SUKSES,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,IN,India,203020,HOSTROYALE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,JP,Japan,4785,XTOM-AS-JP xTom,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,LT,Lithuania,61272,IST-AS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,MD,Moldova,39798,MIVOCLOUD,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,MK,North Macedonia,200899,INTERSPACE-EUROPE,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,NL,Netherlands,51430,ALTUS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,PS,Palestine,12975,PALTEL-AS PALTEL Autonomous System,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,SC,Seychelles,37518,FIBERGRID,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,SE,Sweden,8473,BAHNHOF,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,TW,Taiwan,9678,HOSTINGINSIDE HostingInside LTD.,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,US,United States,46475,LIMESTONENETWORKS,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,US,United States,939,USA-2022,lt-50,1,lt-50,lt-50,95.0,VPN-Infrastructure-Atlas
Proxpn,CH,Switzerland,29691,NINE,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
Proxpn,CR,Costa Rica,3790,RADIOGRAFICA COSTARRICENSE,lt-50,1,lt-50,lt-50,78.0,VPN-Infrastructure-Atlas
