operator_cluster,operator,provider_count,asn_count,country_count,observed_records_bucket,top_provider_examples,source_repo
OperatorCluster-237,SERVER24-AS INCUBATEC GmbH - Srl,0,1,1,lt-50,Anonine (8); BoxPN (8); EasyHideIP (8); FrootVPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-238,SERVERHUB-NL,0,1,1,lt-50,Astrill (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-239,SSASN2,0,1,1,lt-50,Astrill (5); FlowVPN (2); GhostPath (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-240,TELE2,0,1,2,lt-50,PureVPN (6); Ivacy (3); ProtonVPN (1); VPN Gate (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-241,VIVIDHOSTING,0,1,1,lt-50,NordVPN (8),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-242,AKTON-AS Akton Autonomous System,0,1,1,lt-50,VPN Unlimited (6); Astrill (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-243,AS-30083-US-VELIA-NET,0,1,1,lt-50,Astrill (4); VPN Unlimited (2); VPN.ac (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-244,ASDETUK www.heficed.com,0,1,1,lt-50,Smartdnsproxy (2); AnonymousVPN (1); FlowVPN (1); SwitchVPN (1); Trust.Zone (1); VPN.ac (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-245,CENTAURUS_AGENA3000,0,1,1,lt-50,Vpnht (7),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-246,COMFACCORPORATION-AS-AP COMFAC CORPORATION,0,1,1,lt-50,VPN Jantit (4); FlowVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-247,CYTA-NETWORK Internet Services,0,1,1,lt-50,Windscribe (6); PrivateVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-248,DASABO,0,1,1,lt-50,Sentinel dVPN (7),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-249,ENZUINC-,0,1,1,lt-50,VPN Unlimited (3); Astrill (2); Smartdnsproxy (2); Getflix (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-250,GIGAINFRA SoftBank Corp.,0,1,1,lt-50,VPN Gate (7),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-251,IDC-AS-AP Dromatics Systems Pte Ltd,0,1,1,lt-50,Sentinel dVPN (7),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-252,INT-NETWORK,0,1,1,lt-50,VPN.ac (5); HideIPVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-253,INTERHOST,0,1,1,lt-50,WiTopia (4); GhostPath (1); SmartVPN (1); Zoogvpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-254,ITL-LV,0,1,2,lt-50,WorldVPN (5); FlowVPN (1); Trust.Zone (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-255,KVCNET-2009,0,1,1,lt-50,Astrill (7),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-256,"LAIN we love lain, cats and the world wide web",0,1,1,lt-50,Sentinel dVPN (7),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-257,NOVOSERVE-AS,0,1,1,lt-50,ProtonVPN (7),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-258,OUIHEBERG,0,1,1,lt-50,Sentinel dVPN (4); KevinVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-259,ROSTELECOM-AS PJSC Rostelecom. Technical Team,0,1,1,lt-50,VPNObratno (6); VPN Gate (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-260,SOVAM-AS,0,1,1,lt-50,Astrill (4); Windscribe (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-261,SPARKED,0,1,1,lt-50,Sentinel dVPN (5); VPN Jantit (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-262,THEOPT-HOU,0,1,1,lt-50,Astrill (3); VPN Unlimited (3); GhostPath (1); SlickVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-263,TIMEWEB-AS,0,1,1,lt-50,Kompot VPN (4); KeyDrop (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-264,WEBHS WEBSP LDA,0,1,1,lt-50,WiTopia (5); FastestVPN (1); GhostPath (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-265,XTOM xTom,0,1,1,lt-50,Mullvad (5); Astrill (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-266,ACEHOST,0,1,1,lt-50,Windscribe (6),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-267,ALEXHOST,0,1,2,lt-50,CactusVPN (2); Cryptostorm (2); Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-268,AS-NETWORKEDGE,0,1,1,lt-50,Windscribe (6),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-269,CLOUDWEBMANAGE-,0,1,1,lt-50,Astrill (3); FlowVPN (1); Sentinel dVPN (1); VPNSecure (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-270,DATALOGISTICS,0,1,1,lt-50,Windscribe (6),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-271,Dattatec.com,0,1,1,lt-50,FlowVPN (3); Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-272,ELD-AS-AP Edgenext Legend Dynasty Pte. Ltd.,0,1,1,lt-50,Sentinel dVPN (6),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-273,FIBERSTATE,0,1,1,lt-50,Astrill (3); Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-274,HEARTBEAT-IT,0,1,1,lt-50,Sentinel dVPN (4); KevinVPN (2),ipanalytics/vpn-provider-overlap-intelligence
