provider,hosting_cluster,observed_records_bucket,dependency_score,dependency_class
NordVPN,HostingCluster-005,100-499,0.73,important-vpn-hosting
ProtonVPN,HostingCluster-005,100-499,0.73,important-vpn-hosting
CyberGhost,HostingCluster-005,100-499,0.73,important-vpn-hosting
Mullvad,HostingCluster-005,100-499,0.73,important-vpn-hosting
IVPN,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Windscribe,HostingCluster-005,lt-50,0.73,important-vpn-hosting
AzireVPN,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Surfshark,HostingCluster-005,lt-50,0.73,important-vpn-hosting
PrivateVPN,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Astrill,HostingCluster-005,lt-50,0.73,important-vpn-hosting
RedShield VPN,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Trust.Zone,HostingCluster-005,lt-50,0.73,important-vpn-hosting
PureVPN,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Ivacy,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Hotspotshield,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Smartdnsproxy,HostingCluster-005,lt-50,0.73,important-vpn-hosting
ExpressVPN,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Riseup VPN,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Getflix,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Private Internet Access,HostingCluster-005,lt-50,0.73,important-vpn-hosting
NetShade,HostingCluster-005,lt-50,0.73,important-vpn-hosting
Psiphon,HostingCluster-006,100-499,0.62,important-vpn-hosting
TunnelBear,HostingCluster-006,50-99,0.62,important-vpn-hosting
VPN Unlimited,HostingCluster-006,lt-50,0.62,important-vpn-hosting
PhantomPeer,HostingCluster-006,lt-50,0.62,important-vpn-hosting
TorGuard,HostingCluster-006,lt-50,0.62,important-vpn-hosting
uVPN,HostingCluster-006,lt-50,0.62,important-vpn-hosting
PrivateVPN,HostingCluster-006,lt-50,0.62,important-vpn-hosting
Goosevpn,HostingCluster-006,lt-50,0.62,important-vpn-hosting
VPN Jantit,HostingCluster-006,lt-50,0.62,important-vpn-hosting
Safervpn,HostingCluster-006,lt-50,0.62,important-vpn-hosting
VPNSTunnel,HostingCluster-006,lt-50,0.62,important-vpn-hosting
SmartVPN,HostingCluster-006,lt-50,0.62,important-vpn-hosting
Getflix,HostingCluster-006,lt-50,0.62,important-vpn-hosting
Smartdnsproxy,HostingCluster-006,lt-50,0.62,important-vpn-hosting
Astrill,HostingCluster-006,lt-50,0.62,important-vpn-hosting
Trust.Zone,HostingCluster-006,lt-50,0.62,important-vpn-hosting
GhostPath,HostingCluster-006,lt-50,0.62,important-vpn-hosting
Sentinel dVPN,HostingCluster-006,lt-50,0.62,important-vpn-hosting
OysterVPN,HostingCluster-006,lt-50,0.62,important-vpn-hosting
IPVanish,HostingCluster-007,lt-50,0.58,important-vpn-hosting
WLVPN,HostingCluster-007,lt-50,0.58,important-vpn-hosting
NordVPN,HostingCluster-007,lt-50,0.58,important-vpn-hosting
EasyHideIP,HostingCluster-007,lt-50,0.58,important-vpn-hosting
Anonine,HostingCluster-007,lt-50,0.58,important-vpn-hosting
FrootVPN,HostingCluster-007,lt-50,0.58,important-vpn-hosting
