provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
IPVanish,55286,SERVER-MANIA,1,Canada,lt-50,1,95.0,VPN-Infrastructure-Atlas
Mullvad,203020,HOSTROYALE,1,India,lt-50,17,95.0,VPN-Infrastructure-Atlas
WLVPN,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",1,United Kingdom,lt-50,4,95.0,VPN-Infrastructure-Atlas
WLVPN,55286,SERVER-MANIA,1,Canada,lt-50,1,95.0,VPN-Infrastructure-Atlas
CyberGhost,41564,AS41564,1,United Kingdom,lt-50,1,72.2,VPN-Infrastructure-Atlas
IPVanish,13926,NETPROTECT-PHX,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
IVPN,9009,M247,2,Romania; United States,lt-50,22,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,49683,MASSIVEGRID,1,United Kingdom,lt-50,21,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,61112,AkileCloud Network,1,United Kingdom,lt-50,23,95.0,VPN-Infrastructure-Atlas
WLVPN,13926,NETPROTECT-PHX,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
Astrill,55286,SERVER-MANIA,1,Canada,lt-50,7,78.1,VPN-Infrastructure-Atlas
ProtonVPN,60068,CDN77 _,1,United Kingdom,lt-50,17,95.0,VPN-Infrastructure-Atlas
AirVPN,6206,NETROUTING-AS,1,Netherlands,lt-50,5,95.0,VPN-Infrastructure-Atlas
Astrill,22612,NAMECHEAP-NET,1,United States,lt-50,1,80.0,VPN-Infrastructure-Atlas
Astrill,32097,WII,1,United States,lt-50,3,79.3,VPN-Infrastructure-Atlas
Windscribe,60068,CDN77 _,1,United Kingdom,lt-50,8,95.0,VPN-Infrastructure-Atlas
NordVPN,58325,BANDWIDTH-ASIA,1,United Kingdom,lt-50,3,95.0,VPN-Infrastructure-Atlas
ProtonVPN,49981,WORLDSTREAM,1,Netherlands,lt-50,24,95.0,VPN-Infrastructure-Atlas
Windscribe,206804,ESTNOC-GLOBAL,1,Estonia,lt-50,7,95.0,VPN-Infrastructure-Atlas
ExpressVPN,262287,Latitude.sh LTDA,1,Brazil,lt-50,5,70.0,VPN-Infrastructure-Atlas
FlowVPN,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",1,Canada,lt-50,16,70.0,VPN-Infrastructure-Atlas
IPVanish,212238,CDNEXT,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
SwitchVPN,20473,AS-VULTR,1,United States,lt-50,19,88.0,VPN-Infrastructure-Atlas
VPNSecure,16276,OVH,1,France,lt-50,19,88.0,VPN-Infrastructure-Atlas
