provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
VPN.ac,Hong Kong,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPNSecure,United States,lt-50,3,2,lt-50,88.0,VPN-Infrastructure-Atlas
VPNUK,Switzerland,lt-50,3,1,lt-50,86.7,VPN-Infrastructure-Atlas
VPNUK,Romania,lt-50,3,1,lt-50,78.3,VPN-Infrastructure-Atlas
Vpnht,Albania,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Vpnht,Netherlands,lt-50,3,3,lt-50,78.0,VPN-Infrastructure-Atlas
WiTopia,Dominican Republic,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Georgia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Iceland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,North Macedonia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Poland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Russia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WorkingVPN,France,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,Russia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,Singapore,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
Zoogvpn,United Kingdom,lt-50,3,2,lt-50,78.0,VPN-Infrastructure-Atlas
Zoogvpn,Ukraine,lt-50,3,2,lt-50,78.0,VPN-Infrastructure-Atlas
uVPN,Romania,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
AnonymousVPN,Luxembourg,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,Latvia,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Albania,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Czechia,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Spain,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Thailand,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
AzireVPN,Canada,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CCrypto VPN,Latvia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
CactusVPN,Brazil,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Switzerland,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Germany,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Spain,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Hong Kong,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,India,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Italy,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Japan,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Luxembourg,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Latvia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Moldova,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Poland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Portugal,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Romania,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Russia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Sweden,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Ukraine,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
CyberGhost,India,lt-50,1,0,lt-50,95.0,VPN-Infrastructure-Atlas
ExpressVPN,Georgia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
ExpressVPN,Moldova,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FastestVPN,Germany,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,Japan,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Luxembourg,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Sweden,lt-50,2,2,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Türkiye,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Taiwan,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,South Africa,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
FreeVPN,Germany,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
FreeVPN,France,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
FreeVPN,Indonesia,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
Freevpn,France,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
Froot,Romania,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,United Kingdom,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Romania,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
Getflix,Türkiye,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
GhostPath,Belgium,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Spain,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Greece,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,India,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
GhostPath,Italy,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
HideIPVPN,Germany,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
HideIPVPN,Poland,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
HideIPVPN,Seychelles,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
IVPN,Australia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Germany,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Finland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Hong Kong,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Israel,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Iceland,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Norway,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Portugal,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,Ukraine,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
IVPN,ZZ,lt-50,1,0,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Hong Kong,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Luxembourg,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Romania,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
KevinVPN,Austria,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,Germany,lt-50,2,2,lt-50,70.0,VPN-Infrastructure-Atlas
KevinVPN,France,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
Mullvad,Albania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Mullvad,Panama,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
NetShade,United Kingdom,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
NetShade,United States,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
NordVPN,North Macedonia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
OVPN,Germany,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Octanevpn,United States,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
OysterVPN,Canada,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Netherlands,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,Vietnam,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Moldova,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,North Macedonia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Cyprus,lt-50,2,2,lt-50,91.5,VPN-Infrastructure-Atlas
PrivateVPN,Denmark,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Spain,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Japan,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,Norway,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,South Africa,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Albania,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Iceland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Proxpn,Canada,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Proxpn,United Kingdom,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Proxpn,Singapore,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
PureVPN,Brazil,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
PureVPN,Finland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
RedShield VPN,Brazil,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
RedShield VPN,Israel,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Riseup VPN,Canada,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Riseup VPN,United Kingdom,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Safervpn,Netherlands,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Switzerland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Czechia,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Indonesia,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Iceland,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Japan,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Kyrgyzstan,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,South Korea,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Portugal,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Saudi Arabia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,UNKNOWN,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,South Africa,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
SlickVPN,United Kingdom,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Australia,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
Smartdnsproxy,Luxembourg,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
SotaVPN,United Kingdom,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
StrongVPN,Australia,lt-50,2,1,lt-50,80.0,VPN-Infrastructure-Atlas
StrongVPN,Costa Rica,lt-50,1,1,lt-50,80.0,VPN-Infrastructure-Atlas
Surfshark,Andorra,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,United Arab Emirates,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Albania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Armenia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Argentina,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Azerbaijan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Bosnia and Herzegovina,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Bangladesh,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Bulgaria,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Brunei,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Bolivia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Brazil,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Bahamas,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Bhutan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Belize,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Switzerland,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Chile,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Colombia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Cyprus,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Czechia,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Denmark,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Algeria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Ecuador,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Estonia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Egypt,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Finland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Georgia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Ghana,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Greenland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Greece,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Hong Kong,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Croatia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Hungary,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Indonesia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Ireland,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Israel,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Isle of Man,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Iceland,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Japan,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Cambodia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,South Korea,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Kazakhstan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Laos,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Liechtenstein,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Luxembourg,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Latvia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Morocco,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Monaco,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Moldova,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Montenegro,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,North Macedonia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Myanmar,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Mongolia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Macao,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Malta,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Mexico,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Malaysia,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Nigeria,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Netherlands,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Norway,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Nepal,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,New Zealand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Panama,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Peru,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Philippines,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Pakistan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Puerto Rico,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Paraguay,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Serbia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Saudi Arabia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Singapore,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Slovenia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Slovakia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Thailand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Türkiye,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Taiwan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Uruguay,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Uzbekistan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Venezuela,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,Vietnam,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Surfshark,South Africa,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
SwitchVPN,Canada,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
Trust.Zone,Netherlands,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
Trust.Zone,Ukraine,lt-50,2,2,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Jantit,Estonia,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Cambodia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Kazakhstan,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,Vietnam,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Jantit,South Africa,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,Bulgaria,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Unlimited,Greece,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
VPNSecure,Romania,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPNSecure,Ukraine,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPNUK,Germany,lt-50,2,2,lt-50,82.5,VPN-Infrastructure-Atlas
VPNUK,France,lt-50,2,1,lt-50,82.5,VPN-Infrastructure-Atlas
VPNUK,Italy,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Vpnbook,France,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
Vpnht,Singapore,lt-50,1,0,lt-50,78.0,VPN-Infrastructure-Atlas
WorldVPN,Austria,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,Canada,lt-50,2,2,lt-50,88.0,VPN-Infrastructure-Atlas
WorldVPN,Sweden,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
Zoogvpn,Germany,lt-50,2,1,lt-50,78.0,VPN-Infrastructure-Atlas
Zoogvpn,Israel,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
Zoogvpn,Lithuania,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
uVPN,Germany,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
uVPN,United Kingdom,lt-50,2,2,lt-50,70.0,VPN-Infrastructure-Atlas
Anonvpn,Canada,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Anonvpn,United Kingdom,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Anonvpn,United States,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
AnonymousVPN,Czechia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,Germany,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,France,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,Italy,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,Lithuania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,Romania,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,South Africa,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Indonesia,lt-50,1,1,lt-50,80.0,VPN-Infrastructure-Atlas
Astrill,Kazakhstan,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Slovenia,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
Astrill,Türkiye,lt-50,1,1,lt-50,80.0,VPN-Infrastructure-Atlas
AzireVPN,Australia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AzireVPN,Indonesia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AzireVPN,Thailand,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AzireVPN,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
AzireVPN,South Africa,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
BTGuard,Canada,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
BTGuard,Lithuania,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
BTGuard,United States,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
CCrypto VPN,Estonia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
CCrypto VPN,United States,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
CactusVPN,Australia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,France,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
CactusVPN,Singapore,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,South Korea,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,Portugal,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,Türkiye,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,Ukraine,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,United Kingdom,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,South Africa,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,Armenia,lt-50,1,0,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Australia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Azerbaijan,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Chile,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Costa Rica,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Cyprus,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Denmark,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Estonia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Finland,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Croatia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Indonesia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Israel,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,India,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Kazakhstan,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Moldova,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Mexico,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Malaysia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Panama,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Poland,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Portugal,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Tunisia,lt-50,1,1,lt-50,70.0,VPN-Infrastructure-Atlas
FreeVPN,Switzerland,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
FreeVPN,Estonia,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
