provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
VPN Unlimited,Canada,lt-50,18,3,lt-50,70.0,VPN-Infrastructure-Atlas
IVPN,United Kingdom,lt-50,31,3,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Switzerland,lt-50,11,3,lt-50,95.0,VPN-Infrastructure-Atlas
Trust.Zone,Romania,lt-50,33,1,lt-50,70.0,VPN-Infrastructure-Atlas
VPN Gate,Japan,lt-50,40,13,lt-50,78.0,VPN-Infrastructure-Atlas
VPNUK,United Kingdom,lt-50,29,5,lt-50,86.9,VPN-Infrastructure-Atlas
WiTopia,United Kingdom,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
Mullvad,India,lt-50,19,3,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Romania,lt-50,29,6,lt-50,95.0,VPN-Infrastructure-Atlas
CyberGhost,Lithuania,lt-50,2,1,lt-50,73.3,VPN-Infrastructure-Atlas
Goosevpn,Romania,lt-50,31,1,lt-50,78.0,VPN-Infrastructure-Atlas
IPVanish,Australia,lt-50,7,1,lt-50,95.0,VPN-Infrastructure-Atlas
IPVanish,Romania,lt-50,6,1,lt-50,95.0,VPN-Infrastructure-Atlas
Opera VPN,Sweden,lt-50,3,1,lt-50,70.0,VPN-Infrastructure-Atlas
WLVPN,Australia,lt-50,7,1,lt-50,95.0,VPN-Infrastructure-Atlas
WLVPN,Romania,lt-50,6,1,lt-50,95.0,VPN-Infrastructure-Atlas
AirVPN,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Canada,lt-50,20,8,lt-50,95.0,VPN-Infrastructure-Atlas
IPVanish,Canada,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WLVPN,Canada,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,United States,lt-50,14,3,lt-50,88.0,VPN-Infrastructure-Atlas
FlowVPN,Canada,lt-50,20,4,lt-50,70.0,VPN-Infrastructure-Atlas
FastestVPN,Romania,lt-50,29,1,lt-50,95.0,VPN-Infrastructure-Atlas
SwitchVPN,United States,lt-50,23,5,lt-50,88.0,VPN-Infrastructure-Atlas
Astrill,Taiwan,lt-50,14,2,lt-50,78.0,VPN-Infrastructure-Atlas
IVPN,Romania,lt-50,22,1,lt-50,95.0,VPN-Infrastructure-Atlas
StrongVPN,United Kingdom,lt-50,10,4,lt-50,83.8,VPN-Infrastructure-Atlas
Astrill,Lithuania,lt-50,11,4,lt-50,78.0,VPN-Infrastructure-Atlas
